Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	91	58	35	85	42	89	
		Student 1	29	55	42	73	72	53	
		Student 2	50	30	15	89	37	24	
		Student 3	28	37	90	91	72	16	
		Student 4	54	64	45	76	82	68	
		Student 5	38	17	51	93	85	36	
		Student 6	77	14	20	68	73	47	
		Student 7	68	25	11	58	11	72	
		Student 8	32	58	78	73	69	47	
		Student 9	39	76	65	99	81	26	
		Student 10	23	77	78	21	10	51	
		Student 11	49	37	62	94	53	44	
		Student 12	61	41	36	18	30	93	
		Student 13	48	28	79	44	57	40	
		Student 14	98	56	12	57	37	34	
		Student 15	27	12	28	71	86	40	
		Student 16	67	44	31	58	98	40	
		Student 17	33	97	13	67	68	93	
		Student 18	31	21	44	59	55	96	
		Student 19	74	56	98	38	37	86	
		Student 20	72	27	10	68	83	12	
		Student 21	52	62	73	25	35	95	
		Student 22	29	63	24	91	17	34	
		Student 23	55	59	23	88	40	59	
		Student 24	23	23	11	18	81	31	
		Student 25	19	39	70	11	57	64	
		Student 26	39	37	57	20	45	23	
		Student 27	18	81	77	39	14	77	
		Student 28	87	36	97	26	60	64	
		Student 29	11	13	62	61	38	80	
		Student 30	23	52	51	23	58	35	
		Student 31	15	66	80	24	70	44	
		Student 32	55	37	50	97	24	84	
		Student 33	66	36	48	46	16	11	
		Student 34	92	41	23	63	77	86	
		Student 35	60	54	30	38	81	85	
		Student 36	42	43	53	90	88	30	
		Student 37	94	15	65	52	52	17	
		Student 38	54	11	58	71	60	54	
		Student 39	92	71	99	96	85	39	
		Student 40	16	59	64	34	27	29	
		Student 41	64	39	47	39	84	68	
		Student 42	64	49	98	75	73	47	
		Student 43	28	59	97	67	12	78	
		Student 44	84	85	88	82	48	92	
		Student 45	86	17	10	75	70	69	
		Student 46	30	41	60	67	71	45	
		Student 47	96	67	39	66	89	29	
		Student 48	81	45	23	29	77	68	
		Student 49	90	22	75	95	51	92	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	25	94	70	30	52	58	
		Student 1	25	85	37	72	68	38	
		Student 2	85	33	16	82	80	22	
		Student 3	84	79	58	62	69	27	
		Student 4	63	69	24	34	26	72	
		Student 5	90	71	99	87	38	19	
		Student 6	20	38	71	98	92	69	
		Student 7	30	80	22	53	66	53	
		Student 8	11	32	96	72	92	62	
		Student 9	30	25	88	17	69	19	
		Student 10	51	85	99	24	57	40	
		Student 11	69	19	86	70	96	59	
		Student 12	81	94	29	78	46	29	
		Student 13	79	79	34	95	78	99	
		Student 14	11	79	40	30	64	97	
		Student 15	63	41	88	79	33	50	
		Student 16	73	95	65	86	15	64	
		Student 17	21	33	10	96	30	41	
		Student 18	59	76	66	44	88	72	
		Student 19	69	76	15	84	61	37	
		Student 20	25	17	58	35	13	93	
		Student 21	54	54	80	93	54	59	
		Student 22	84	32	19	15	68	59	
		Student 23	37	17	31	75	46	40	
		Student 24	77	33	83	26	92	60	
		Student 25	40	32	38	90	46	55	
		Student 26	20	26	31	60	18	66	
		Student 27	52	99	47	96	81	42	
		Student 28	78	80	65	62	62	59	
		Student 29	97	97	59	80	27	68	
		Student 30	46	56	88	33	31	11	
		Student 31	66	83	72	20	11	61	
		Student 32	16	52	16	75	12	98	
		Student 33	62	88	75	69	54	53	
		Student 34	51	42	22	37	53	14	
		Student 35	47	48	74	52	83	69	
		Student 36	41	21	14	76	75	27	
		Student 37	44	61	20	52	59	51	
		Student 38	62	29	66	90	61	73	
		Student 39	63	70	85	16	93	31	
		Student 40	95	82	70	94	12	36	
		Student 41	82	60	20	34	36	58	
		Student 42	95	67	20	89	88	33	
		Student 43	96	28	26	61	18	62	
		Student 44	33	90	56	91	20	66	
		Student 45	64	96	85	87	38	54	
		Student 46	80	79	42	87	60	75	
		Student 47	15	77	21	18	99	15	
		Student 48	70	59	99	76	10	52	
		Student 49	26	70	86	62	37	19	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	88	33	53	16	41	71	
		Student 1	64	80	79	65	69	41	
		Student 2	42	88	42	59	19	80	
		Student 3	62	42	34	20	37	56	
		Student 4	70	95	21	46	67	41	
		Student 5	34	19	17	37	94	73	
		Student 6	10	76	93	70	21	89	
		Student 7	69	99	44	87	53	68	
		Student 8	24	91	82	33	38	63	
		Student 9	56	77	71	71	52	55	
		Student 10	34	63	30	70	70	65	
		Student 11	34	11	66	30	82	85	
		Student 12	36	89	52	34	58	73	
		Student 13	28	42	30	20	14	58	
		Student 14	19	64	71	26	91	24	
		Student 15	70	94	60	76	41	56	
		Student 16	18	62	79	78	40	56	
		Student 17	34	28	49	40	93	93	
		Student 18	41	86	43	93	93	85	
		Student 19	55	52	10	47	51	58	
		Student 20	98	69	23	16	23	72	
		Student 21	55	46	95	48	47	88	
		Student 22	79	38	99	54	78	26	
		Student 23	40	68	41	41	21	68	
		Student 24	62	64	23	52	16	70	
		Student 25	29	75	78	38	44	25	
		Student 26	17	53	32	59	64	76	
		Student 27	72	12	61	62	95	77	
		Student 28	45	76	79	77	59	25	
		Student 29	84	23	39	57	79	72	
		Student 30	20	73	60	19	77	90	
		Student 31	44	21	58	94	63	77	
		Student 32	83	47	60	53	85	24	
		Student 33	62	60	61	66	46	56	
		Student 34	63	59	46	87	10	62	
		Student 35	71	29	59	72	33	72	
		Student 36	57	30	48	54	78	98	
		Student 37	18	57	62	14	66	34	
		Student 38	66	34	91	93	21	13	
		Student 39	50	99	53	37	89	24	
		Student 40	32	29	47	83	12	86	
		Student 41	32	38	41	25	62	48	
		Student 42	33	31	67	10	44	92	
		Student 43	27	71	70	29	77	91	
		Student 44	44	67	91	50	11	32	
		Student 45	38	58	26	18	55	54	
		Student 46	53	66	33	72	87	30	
		Student 47	70	21	91	10	54	35	
		Student 48	72	20	46	34	61	76	
		Student 49	55	47	22	58	60	37	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	67	79	30	68	57	86	
		Student 1	87	54	94	24	10	90	
		Student 2	44	70	32	96	42	96	
		Student 3	97	50	31	51	33	40	
		Student 4	12	56	31	62	85	44	
		Student 5	60	94	50	68	99	70	
		Student 6	67	48	78	78	30	80	
		Student 7	68	75	22	98	65	31	
		Student 8	93	89	95	58	59	97	
		Student 9	37	25	46	18	58	87	
		Student 10	16	20	97	55	12	25	
		Student 11	69	65	53	31	79	51	
		Student 12	69	94	84	73	50	77	
		Student 13	42	24	11	88	23	77	
		Student 14	47	69	75	61	59	25	
		Student 15	86	19	61	40	24	53	
		Student 16	44	79	39	78	42	59	
		Student 17	54	12	26	59	87	80	
		Student 18	53	12	32	15	55	38	
		Student 19	36	41	50	28	41	58	
		Student 20	23	11	49	45	28	83	
		Student 21	64	49	11	74	48	13	
		Student 22	60	38	85	79	94	73	
		Student 23	70	75	70	84	88	79	
		Student 24	78	18	37	59	70	14	
		Student 25	12	39	72	58	16	28	
		Student 26	47	77	75	69	46	39	
		Student 27	74	72	96	37	91	77	
		Student 28	84	95	92	65	49	40	
		Student 29	82	37	44	24	25	58	
		Student 30	95	82	58	63	96	47	
		Student 31	97	33	88	34	22	23	
		Student 32	88	43	47	12	47	66	
		Student 33	19	38	71	59	32	99	
		Student 34	82	23	89	60	39	28	
		Student 35	15	67	81	59	39	80	
		Student 36	93	29	46	66	96	52	
		Student 37	53	69	96	21	77	24	
		Student 38	74	95	42	82	30	24	
		Student 39	61	66	59	89	70	21	
		Student 40	48	24	44	92	69	85	
		Student 41	16	53	98	62	18	88	
		Student 42	71	69	55	56	64	47	
		Student 43	42	50	29	31	56	29	
		Student 44	61	64	76	23	56	81	
		Student 45	90	34	56	52	93	47	
		Student 46	99	38	89	74	66	58	
		Student 47	10	63	49	86	41	67	
		Student 48	82	56	48	90	51	38	
		Student 49	96	57	52	20	16	42	
